time_ms,dt,cur_x,cur_y,cur_z,cur_yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,v_des_body_x,v_des_body_y,cmd_x,cmd_y,cmd_z,cmd_yaw,out_I_x,out_I_y,inn_I_x,inn_I_y,total_error
1776700912163,0.101,-1.4360321311257989,1.1042373463554176,0.9778740552493459,-0.06020346150248059,-2.0,0.0,2.0,0.0,-0.25950994433167873,-0.5807848310070306,-17.744051450095203,-42.25526100825616,60.0,3.9350017511744126,-0.6,-0.6,-0.30568740918469556,-0.5,1.6069042663273316
1776700912263,0.1,-1.4589677439459312,1.076158322148659,0.9958284605178711,-0.06601012603940766,-2.0,0.0,2.0,0.0,-0.24561641176878965,-0.5675165410042692,-16.299695359702124,-40.45075430215564,60.0,4.562085538754063,-0.6,-0.6,-0.3092155426602183,-0.5,1.5681814681747395
1776700912364,0.101,-1.4813347777997594,1.044908955870225,1.013485123868768,-0.03980083261425135,-2.0,0.0,2.0,0.0,-0.24985161207576406,-0.5448276303331584,-16.6670125709171,-38.27315933500154,60.0,-4.317510947424363,-0.6,-0.6,-0.3133446576171899,-0.5,1.527763050870798
1776700912466,0.102,-1.5070120359156638,1.0112440727395686,1.0322744065123914,-0.016994875592280512,-2.0,0.0,2.0,0.0,-0.24966015442049466,-0.5219401484675746,-15.984950545102022,-36.194322920681,60.0,-4.550353506151909,-0.6,-0.6,-0.3137085462502129,-0.5,1.4839624428110951
1776700912564,0.098,-1.5339335114337644,0.9757564002492433,1.0482832424775559,-0.03555703829885704,-2.0,0.0,2.0,0.0,-0.22710791925588178,-0.5082730553305037,-13.935466162764328,-34.455490405939535,60.0,6.252573603221023,-0.6,-0.6,-0.3103222341330574,-0.5,1.440514946448268
1776700912662,0.098,-1.5638900717226607,0.9382744554405706,1.0649794251814313,-0.034448576169912724,-2.0,0.0,2.0,0.0,-0.2133472595568573,-0.4887752707152698,-12.286984801008257,-32.55461042350252,60.0,1.3820715429449577,-0.6,-0.6,-0.302582422581148,-0.5,1.394565989334464
1776700912763,0.101,-1.5964445422170548,0.8988453924206055,1.0838915925230135,-0.03478714904801738,-2.0,0.0,2.0,0.0,-0.1976000479870315,-0.46857874789997056,-10.733055539484086,-30.824645086466493,60.0,1.7502361154386132,-0.6,-0.6,-0.29137660083850436,-0.5,1.3453752863911894
1776700912855,0.092,-1.6267492256931217,0.8627988331376893,1.0992247095427994,0.0017749914125214405,-2.0,0.0,2.0,0.0,-0.19941210400295165,-0.4430461599117652,-10.450519663710182,-29.015548130339187,60.0,-9.623149273158981,-0.6,-0.6,-0.27935389637000013,-0.5,1.301973152903967
1776700912966,0.111,-1.6640911388887178,0.8160735665335306,1.1184679549458973,0.037964523556190795,-2.0,0.0,2.0,0.0,-0.19576742751771495,-0.4129038758558617,-9.717173340421594,-26.364728714380792,60.0,-9.647060837436479,-0.6,-0.6,-0.2619955985479091,-0.5,1.2473610445356644
1776700913059,0.093,-1.6640911388887178,0.8160735665335306,1.1184679549458973,0.037964523556190795,-2.0,0.0,2.0,0.0,-0.19576742751771495,-0.4129038758558617,-16.110465254302934,-33.70650231675721,60.0,-1.8222971306971583,-0.6,-0.6,-0.2802019693070566,-0.5,1.2473610445356644
